# File: A00.india_state_laborforce.csv
# Title: Estimated labour force projections
# Units: NA
# Description: Estimated to correct the trajectory of GDP growth rates
# Column types: cin
# ----------
region,year,laborforce
UP,2040,0.345139849
UP,2045,0.345139849
UP,2050,0.345139849
UP,2055,0.345139849
UP,2060,0.345139849
UP,2065,0.345139849
UP,2070,0.345139849
UP,2075,0.345139849
UP,2080,0.345139849
UP,2085,0.345139849
UP,2090,0.345139849
UP,2095,0.345139849
UP,2100,0.345139849
WB,1975,0.5
WB,1990,0.5
WB,2005,0.5
WB,2010,0.468823092
WB,2015,0.42421477
WB,2020,0.42421477
WB,2025,0.42421477
WB,2030,0.42421477
WB,2035,0.42421477
WB,2040,0.42421477
WB,2045,0.42421477
WB,2050,0.42421477
WB,2055,0.42421477
WB,2060,0.42421477
WB,2065,0.42421477
WB,2070,0.42421477
WB,2075,0.42421477
WB,2080,0.42421477
WB,2085,0.42421477
WB,2090,0.42421477
WB,2095,0.42421477
WB,2100,0.42421477
