# File: A23.india_state_tech_OMvar.csv
# Title: Electricity technology variable operations and maintenance costs
# Units: 1975$/MWh
# Column types: ccccnci
# ----------
region,supplysector,subsector,technology,year,input.OM.var,OM.var
TS,electricity,refined liquids,refined liquids (CC CCS),2080,OM-var,10
TS,electricity,refined liquids,refined liquids (CC CCS),2085,OM-var,10
TS,electricity,refined liquids,refined liquids (CC CCS),2090,OM-var,10
TS,electricity,refined liquids,refined liquids (CC CCS),2095,OM-var,10
TS,electricity,refined liquids,refined liquids (CC CCS),2100,OM-var,10
TS,electricity,refined liquids,refined liquids (CC),1975,OM-var,10
TS,electricity,refined liquids,refined liquids (CC),1990,OM-var,10
TS,electricity,refined liquids,refined liquids (CC),2005,OM-var,10
TS,electricity,refined liquids,refined liquids (CC),2010,OM-var,10
TS,electricity,refined liquids,refined liquids (CC),2015,OM-var,10
TS,electricity,refined liquids,refined liquids (CC),2020,OM-var,10
TS,electricity,refined liquids,refined liquids (CC),2025,OM-var,10
TS,electricity,refined liquids,refined liquids (CC),2030,OM-var,10
TS,electricity,refined liquids,refined liquids (CC),2035,OM-var,10
TS,electricity,refined liquids,refined liquids (CC),2040,OM-var,10
TS,electricity,refined liquids,refined liquids (CC),2045,OM-var,10
TS,electricity,refined liquids,refined liquids (CC),2050,OM-var,10
TS,electricity,refined liquids,refined liquids (CC),2055,OM-var,10
TS,electricity,refined liquids,refined liquids (CC),2060,OM-var,10
TS,electricity,refined liquids,refined liquids (CC),2065,OM-var,10
TS,electricity,refined liquids,refined liquids (CC),2070,OM-var,10
TS,electricity,refined liquids,refined liquids (CC),2075,OM-var,10
TS,electricity,refined liquids,refined liquids (CC),2080,OM-var,10
TS,electricity,refined liquids,refined liquids (CC),2085,OM-var,10
TS,electricity,refined liquids,refined liquids (CC),2090,OM-var,10
TS,electricity,refined liquids,refined liquids (CC),2095,OM-var,10
TS,electricity,refined liquids,refined liquids (CC),2100,OM-var,10
TS,electricity,refined liquids,refined liquids (steam/CT),1975,OM-var,10
TS,electricity,refined liquids,refined liquids (steam/CT),1990,OM-var,10
TS,electricity,refined liquids,refined liquids (steam/CT),2005,OM-var,10
TS,electricity,refined liquids,refined liquids (steam/CT),2010,OM-var,10
TS,electricity,refined liquids,refined liquids (steam/CT),2015,OM-var,10
TS,electricity,refined liquids,refined liquids (steam/CT),2020,OM-var,10
TS,electricity,refined liquids,refined liquids (steam/CT),2025,OM-var,10
TS,electricity,refined liquids,refined liquids (steam/CT),2030,OM-var,10
TS,electricity,refined liquids,refined liquids (steam/CT),2035,OM-var,10
TS,electricity,refined liquids,refined liquids (steam/CT),2040,OM-var,10
TS,electricity,refined liquids,refined liquids (steam/CT),2045,OM-var,10
TS,electricity,refined liquids,refined liquids (steam/CT),2050,OM-var,10
TS,electricity,refined liquids,refined liquids (steam/CT),2055,OM-var,10
TS,electricity,refined liquids,refined liquids (steam/CT),2060,OM-var,10
TS,electricity,refined liquids,refined liquids (steam/CT),2065,OM-var,10
