# File: A00.india_state_laborforce.csv
# Title: Estimated labour force projections
# Units: NA
# Description: Estimated to correct the trajectory of GDP growth rates
# Column types: cin
# ----------
region,year,laborforce
PC,2005,0.5
PC,2010,0.37999957
PC,2015,0.374000731
PC,2020,0.307946235
PC,2025,0.329099437
PC,2030,0.350331071
PC,2035,0.369141586
PC,2040,0.384664366
PC,2045,0.391869515
PC,2050,0.390112987
PC,2055,0.380662469
PC,2060,0.368392731
PC,2065,0.35306197
PC,2070,0.336343733
PC,2075,0.317367854
PC,2080,0.297413934
PC,2085,0.275685314
PC,2090,0.253262022
PC,2095,0.231320226
PC,2100,0.212690395
RJ,1975,0.5
RJ,1990,0.5
RJ,2005,0.5
RJ,2010,0.320000346
RJ,2015,0.345999969
RJ,2020,0.298622081
RJ,2025,0.326820644
RJ,2030,0.355462894
RJ,2035,0.382081452
RJ,2040,0.405372757
RJ,2045,0.419725781
RJ,2050,0.42381117
RJ,2055,0.419484502
RJ,2060,0.411140197
RJ,2065,0.398355772
RJ,2070,0.382808737
RJ,2075,0.364073474
RJ,2080,0.343059891
RJ,2085,0.319170791
RJ,2090,0.293946025
RJ,2095,0.268448868
RJ,2100,0.246549975
SK,1975,0.5
SK,1990,0.5
SK,2005,0.5
SK,2010,0.309999117
SK,2015,0.308000668
SK,2020,0.254750302
SK,2025,0.271814249
SK,2030,0.288144744
SK,2035,0.302837144
SK,2040,0.315158819
SK,2045,0.320336377
SK,2050,0.318497899
SK,2055,0.312675154
SK,2060,0.305513182
SK,2065,0.295714741
SK,2070,0.284534145
SK,2075,0.271811754
SK,2080,0.257786963
SK,2085,0.242148103
SK,2090,0.225523669
SK,2095,0.20898346
SK,2100,0.195261961
TN,1975,0.5
TN,1990,0.5
TN,2005,0.5
TN,2010,0.460000149
TN,2015,0.474999877
TN,2020,0.409311184
TN,2025,0.466553439
TN,2030,0.526569429
TN,2035,0.586002159
TN,2040,0.642743643
TN,2045,0.687020001
TN,2050,0.715206314
TN,2055,0.723853603
TN,2060,0.724268189
TN,2065,0.716617739
TN,2070,0.703457468
TN,2075,0.683633471
TN,2080,0.658449542
TN,2085,0.626381911
TN,2090,0.590062147
TN,2095,0.551393678
TN,2100,0.518370916
TR,1975,0.5
TR,1990,0.5
TR,2005,0.5
TR,2010,0.320000541
TR,2015,0.316999473
TR,2020,0.266155675
TR,2025,0.282764512
TR,2030,0.298988154
TR,2035,0.314452378
TR,2040,0.327762542
TR,2045,0.334175324
TR,2050,0.333088197
TR,2055,0.329880117
TR,2060,0.326104824
TR,2065,0.320426914
TR,2070,0.314151446
TR,2075,0.306630044
TR,2080,0.298335134
TR,2085,0.28854874
TR,2090,0.278047285
TR,2095,0.267532616
TR,2100,0.260841799
TS,1975,0.5
TS,1990,0.5
TS,2005,0.5
TS,2010,0.390000517
TS,2015,0.405000068
TS,2020,0.34790169
TS,2025,0.387826879
TS,2030,0.428817444
TS,2035,0.46763495
TS,2040,0.503135007
TS,2045,0.528246321
TS,2050,0.540862451
TS,2055,0.541328512
TS,2060,0.536799548
TS,2065,0.527004669
TS,2070,0.513899603
TS,2075,0.496705028
TS,2080,0.476360381
TS,2085,0.451780661
TS,2090,0.424797185
TS,2095,0.396696149
TS,2100,0.373158291
UK,1975,0.5
UK,1990,0.5
UK,2005,0.5
UK,2010,0.359999941
UK,2015,0.348999235
UK,2020,0.285968728
UK,2025,0.298130106
UK,2030,0.30976948
UK,2035,0.317096289
UK,2040,0.321078551
UK,2045,0.318431659
UK,2050,0.309090564
UK,2055,0.295134062
UK,2060,0.280112733
UK,2065,0.263801784
UK,2070,0.247345417
UK,2075,0.230431494
UK,2080,0.213518501
UK,2085,0.196105574
UK,2090,0.179019368
UK,2095,0.162712355
UK,2100,0.149330455
UP,1975,0.5
UP,1990,0.5
UP,2005,0.5
UP,2010,0.370000205
UP,2015,0.365000091
UP,2020,0.300582856
UP,2025,0.345035087
UP,2030,0.392371746
UP,2035,0.441270126
UP,2040,0.488764489
UP,2045,0.526817906
UP,2050,0.552176662
UP,2055,0.566800141
UP,2060,0.574858197
UP,2065,0.574824118
UP,2070,0.568536203
UP,2075,0.554992431
UP,2080,0.535285074
UP,2085,0.508321853
UP,2090,0.476483003
