INPUT_TABLE,,,
Variable ID,,,
IncomeElasticity,,,
,,,
region,energy.final.demand,year,income.elasticity
HP,trn_aviation_intl,2080,1
HR,trn_aviation_intl,2080,1
JH,trn_aviation_intl,2080,1
JK,trn_aviation_intl,2080,1
KA,trn_aviation_intl,2080,1
KL,trn_aviation_intl,2080,1
LA,trn_aviation_intl,2080,1
LD,trn_aviation_intl,2080,1
MH,trn_aviation_intl,2080,1
ML,trn_aviation_intl,2080,1
MN,trn_aviation_intl,2080,1
MP,trn_aviation_intl,2080,1
MZ,trn_aviation_intl,2080,1
NL,trn_aviation_intl,2080,1
OD,trn_aviation_intl,2080,1
PB,trn_aviation_intl,2080,1
PC,trn_aviation_intl,2080,1
RJ,trn_aviation_intl,2080,1
SK,trn_aviation_intl,2080,1
TN,trn_aviation_intl,2080,1
TR,trn_aviation_intl,2080,1
TS,trn_aviation_intl,2080,1
UK,trn_aviation_intl,2080,1
UP,trn_aviation_intl,2080,1
WB,trn_aviation_intl,2080,1
AN,trn_aviation_intl,2085,1
AP,trn_aviation_intl,2085,1
AR,trn_aviation_intl,2085,1
AS,trn_aviation_intl,2085,1
BR,trn_aviation_intl,2085,1
CG,trn_aviation_intl,2085,1
CH,trn_aviation_intl,2085,1
DD,trn_aviation_intl,2085,1
DL,trn_aviation_intl,2085,1
DN,trn_aviation_intl,2085,1
GA,trn_aviation_intl,2085,1
GJ,trn_aviation_intl,2085,1
HP,trn_aviation_intl,2085,1
HR,trn_aviation_intl,2085,1
JH,trn_aviation_intl,2085,1
JK,trn_aviation_intl,2085,1
KA,trn_aviation_intl,2085,1
KL,trn_aviation_intl,2085,1
LA,trn_aviation_intl,2085,1
LD,trn_aviation_intl,2085,1
MH,trn_aviation_intl,2085,1
ML,trn_aviation_intl,2085,1
MN,trn_aviation_intl,2085,1
MP,trn_aviation_intl,2085,1
MZ,trn_aviation_intl,2085,1
NL,trn_aviation_intl,2085,1
OD,trn_aviation_intl,2085,1
PB,trn_aviation_intl,2085,1
PC,trn_aviation_intl,2085,1
RJ,trn_aviation_intl,2085,1
SK,trn_aviation_intl,2085,1
TN,trn_aviation_intl,2085,1
TR,trn_aviation_intl,2085,1
TS,trn_aviation_intl,2085,1
UK,trn_aviation_intl,2085,1
UP,trn_aviation_intl,2085,1
WB,trn_aviation_intl,2085,1
AN,trn_aviation_intl,2090,1
AP,trn_aviation_intl,2090,1
AR,trn_aviation_intl,2090,1
AS,trn_aviation_intl,2090,1
BR,trn_aviation_intl,2090,1
CG,trn_aviation_intl,2090,1
CH,trn_aviation_intl,2090,1
DD,trn_aviation_intl,2090,1
DL,trn_aviation_intl,2090,1
DN,trn_aviation_intl,2090,1
GA,trn_aviation_intl,2090,1
GJ,trn_aviation_intl,2090,1
HP,trn_aviation_intl,2090,1
HR,trn_aviation_intl,2090,1
JH,trn_aviation_intl,2090,1
JK,trn_aviation_intl,2090,1
KA,trn_aviation_intl,2090,1
KL,trn_aviation_intl,2090,1
LA,trn_aviation_intl,2090,1
LD,trn_aviation_intl,2090,1
MH,trn_aviation_intl,2090,1
ML,trn_aviation_intl,2090,1
MN,trn_aviation_intl,2090,1
MP,trn_aviation_intl,2090,1
MZ,trn_aviation_intl,2090,1
NL,trn_aviation_intl,2090,1
OD,trn_aviation_intl,2090,1
PB,trn_aviation_intl,2090,1
PC,trn_aviation_intl,2090,1
RJ,trn_aviation_intl,2090,1
SK,trn_aviation_intl,2090,1
TN,trn_aviation_intl,2090,1
TR,trn_aviation_intl,2090,1
TS,trn_aviation_intl,2090,1
UK,trn_aviation_intl,2090,1
UP,trn_aviation_intl,2090,1
WB,trn_aviation_intl,2090,1
AN,trn_aviation_intl,2095,1
AP,trn_aviation_intl,2095,1
AR,trn_aviation_intl,2095,1
AS,trn_aviation_intl,2095,1
BR,trn_aviation_intl,2095,1
CG,trn_aviation_intl,2095,1
CH,trn_aviation_intl,2095,1
DD,trn_aviation_intl,2095,1
DL,trn_aviation_intl,2095,1
DN,trn_aviation_intl,2095,1
GA,trn_aviation_intl,2095,1
GJ,trn_aviation_intl,2095,1
HP,trn_aviation_intl,2095,1
HR,trn_aviation_intl,2095,1
JH,trn_aviation_intl,2095,1
JK,trn_aviation_intl,2095,1
KA,trn_aviation_intl,2095,1
KL,trn_aviation_intl,2095,1
LA,trn_aviation_intl,2095,1
LD,trn_aviation_intl,2095,1
MH,trn_aviation_intl,2095,1
ML,trn_aviation_intl,2095,1
MN,trn_aviation_intl,2095,1
MP,trn_aviation_intl,2095,1
MZ,trn_aviation_intl,2095,1
NL,trn_aviation_intl,2095,1
OD,trn_aviation_intl,2095,1
PB,trn_aviation_intl,2095,1
PC,trn_aviation_intl,2095,1
RJ,trn_aviation_intl,2095,1
SK,trn_aviation_intl,2095,1
TN,trn_aviation_intl,2095,1
TR,trn_aviation_intl,2095,1
TS,trn_aviation_intl,2095,1
UK,trn_aviation_intl,2095,1
UP,trn_aviation_intl,2095,1
WB,trn_aviation_intl,2095,1
AN,trn_aviation_intl,2100,1
AP,trn_aviation_intl,2100,1
AR,trn_aviation_intl,2100,1
AS,trn_aviation_intl,2100,1
BR,trn_aviation_intl,2100,1
CG,trn_aviation_intl,2100,1
CH,trn_aviation_intl,2100,1
DD,trn_aviation_intl,2100,1
DL,trn_aviation_intl,2100,1
DN,trn_aviation_intl,2100,1
GA,trn_aviation_intl,2100,1
GJ,trn_aviation_intl,2100,1
HP,trn_aviation_intl,2100,1
HR,trn_aviation_intl,2100,1
JH,trn_aviation_intl,2100,1
JK,trn_aviation_intl,2100,1
KA,trn_aviation_intl,2100,1
KL,trn_aviation_intl,2100,1
LA,trn_aviation_intl,2100,1
LD,trn_aviation_intl,2100,1
MH,trn_aviation_intl,2100,1
ML,trn_aviation_intl,2100,1
MN,trn_aviation_intl,2100,1
MP,trn_aviation_intl,2100,1
MZ,trn_aviation_intl,2100,1
NL,trn_aviation_intl,2100,1
OD,trn_aviation_intl,2100,1
PB,trn_aviation_intl,2100,1
PC,trn_aviation_intl,2100,1
RJ,trn_aviation_intl,2100,1
SK,trn_aviation_intl,2100,1
TN,trn_aviation_intl,2100,1
TR,trn_aviation_intl,2100,1
TS,trn_aviation_intl,2100,1
UK,trn_aviation_intl,2100,1
UP,trn_aviation_intl,2100,1
WB,trn_aviation_intl,2100,1
AN,trn_freight,2015,1
AP,trn_freight,2015,1
AR,trn_freight,2015,1
AS,trn_freight,2015,1
BR,trn_freight,2015,1
CG,trn_freight,2015,1
CH,trn_freight,2015,1
DD,trn_freight,2015,1
DL,trn_freight,2015,1
DN,trn_freight,2015,1
GA,trn_freight,2015,1
GJ,trn_freight,2015,1
HP,trn_freight,2015,1
HR,trn_freight,2015,1
JH,trn_freight,2015,1
JK,trn_freight,2015,1
KA,trn_freight,2015,1
KL,trn_freight,2015,1
LA,trn_freight,2015,1
LD,trn_freight,2015,1
MH,trn_freight,2015,1
ML,trn_freight,2015,1
MN,trn_freight,2015,1
MP,trn_freight,2015,1
MZ,trn_freight,2015,1
NL,trn_freight,2015,1
OD,trn_freight,2015,1
PB,trn_freight,2015,1
PC,trn_freight,2015,1
RJ,trn_freight,2015,1
SK,trn_freight,2015,1
TN,trn_freight,2015,1
TR,trn_freight,2015,1
TS,trn_freight,2015,1
UK,trn_freight,2015,1
UP,trn_freight,2015,1
WB,trn_freight,2015,1
AN,trn_freight,2020,0.8
AP,trn_freight,2020,0.8
AR,trn_freight,2020,0.8
AS,trn_freight,2020,0.8
BR,trn_freight,2020,0.8
CG,trn_freight,2020,0.8
CH,trn_freight,2020,0.8
DD,trn_freight,2020,0.8
DL,trn_freight,2020,0.8
DN,trn_freight,2020,0.8
GA,trn_freight,2020,0.8
GJ,trn_freight,2020,0.8
HP,trn_freight,2020,0.8
HR,trn_freight,2020,0.8
JH,trn_freight,2020,0.8
JK,trn_freight,2020,0.8
KA,trn_freight,2020,0.8
KL,trn_freight,2020,0.8
LA,trn_freight,2020,0.8
LD,trn_freight,2020,0.8
MH,trn_freight,2020,0.8
ML,trn_freight,2020,0.8
MN,trn_freight,2020,0.8
MP,trn_freight,2020,0.8
MZ,trn_freight,2020,0.8
NL,trn_freight,2020,0.8
OD,trn_freight,2020,0.8
PB,trn_freight,2020,0.8
PC,trn_freight,2020,0.8
RJ,trn_freight,2020,0.8
SK,trn_freight,2020,0.8
TN,trn_freight,2020,0.8
TR,trn_freight,2020,0.8
TS,trn_freight,2020,0.8
UK,trn_freight,2020,0.8
UP,trn_freight,2020,0.8
WB,trn_freight,2020,0.8
AN,trn_freight,2025,0.8
AP,trn_freight,2025,0.8
AR,trn_freight,2025,0.8
AS,trn_freight,2025,0.8
BR,trn_freight,2025,0.8
CG,trn_freight,2025,0.8
CH,trn_freight,2025,0.8
DD,trn_freight,2025,0.8
DL,trn_freight,2025,0.8
DN,trn_freight,2025,0.8
GA,trn_freight,2025,0.8
GJ,trn_freight,2025,0.8
HP,trn_freight,2025,0.8
HR,trn_freight,2025,0.8
JH,trn_freight,2025,0.8
JK,trn_freight,2025,0.8
KA,trn_freight,2025,0.8
KL,trn_freight,2025,0.8
LA,trn_freight,2025,0.8
LD,trn_freight,2025,0.8
MH,trn_freight,2025,0.8
ML,trn_freight,2025,0.8
MN,trn_freight,2025,0.8
MP,trn_freight,2025,0.8
MZ,trn_freight,2025,0.8
NL,trn_freight,2025,0.8
OD,trn_freight,2025,0.8
PB,trn_freight,2025,0.8
PC,trn_freight,2025,0.8
