INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
IndiaIndusSharewt,,,,,,,,
,,,,,,,,
region,supplysector,subsector,apply.to,from.year,to.year,from.value,to-value,interpolation.function
OD,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
PB,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
PC,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
RJ,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
SK,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
TN,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
TR,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
TS,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
UK,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
UP,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
WB,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
AN,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
AP,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
AR,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
AS,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
BR,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
CG,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
CH,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
DD,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
DL,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
DN,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
GA,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
GJ,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
HP,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
HR,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
JH,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
JK,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
KA,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
KL,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
LA,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
LD,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
MH,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
ML,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
MN,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
MP,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
MZ,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
NL,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
OD,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
PB,resid rural space heating,biomass,share-weight,2010,2050,0,0,linear
