INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionTechEff,,,,,,
,,,,,,
Region,sector.name,subsector.name,technology,year,minicam.energy.input,efficiency
TR,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
TS,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
UK,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
UP,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
WB,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
AN,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
AP,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
AR,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
AS,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
BR,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
CG,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
CH,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
DD,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
DL,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
DN,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
GA,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
GJ,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
HP,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
HR,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
JH,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
JK,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
KA,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
KL,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
LA,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
LD,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
MH,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
ML,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
MN,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
MP,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
MZ,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
NL,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
OD,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
PB,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
PC,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
RJ,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
SK,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
TN,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
TR,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
TS,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
UK,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
UP,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
WB,electricity,biomass,biomass (conv CCS),2060,regional biomass,0.362
AN,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
AP,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
AR,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
AS,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
BR,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
CG,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
CH,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
DD,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
DL,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
DN,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
GA,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
GJ,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
HP,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
HR,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
JH,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
JK,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
KA,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
KL,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
LA,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
LD,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
MH,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
ML,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
MN,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
MP,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
MZ,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
NL,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
OD,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
PB,electricity,biomass,biomass (conv CCS),2065,regional biomass,0.37
