INPUT_TABLE,,,,,
Variable ID,,,,,
RegionTechCF,,,,,
,,,,,
region,supplysector,subsector,technology,year,capacity.factor
CG,electricity,refined liquids,refined liquids (CC),2080,0.35
CG,electricity,refined liquids,refined liquids (CC),2085,0.35
CG,electricity,refined liquids,refined liquids (CC),2090,0.35
CG,electricity,refined liquids,refined liquids (CC),2095,0.35
CG,electricity,refined liquids,refined liquids (CC),2100,0.35
CH,electricity,refined liquids,refined liquids (CC),2010,0.35
CH,electricity,refined liquids,refined liquids (CC),2015,0.35
CH,electricity,refined liquids,refined liquids (CC),2020,0.35
CH,electricity,refined liquids,refined liquids (CC),2025,0.35
CH,electricity,refined liquids,refined liquids (CC),2030,0.35
CH,electricity,refined liquids,refined liquids (CC),2035,0.35
CH,electricity,refined liquids,refined liquids (CC),2040,0.35
CH,electricity,refined liquids,refined liquids (CC),2045,0.35
CH,electricity,refined liquids,refined liquids (CC),2050,0.35
CH,electricity,refined liquids,refined liquids (CC),2055,0.35
CH,electricity,refined liquids,refined liquids (CC),2060,0.35
CH,electricity,refined liquids,refined liquids (CC),2065,0.35
CH,electricity,refined liquids,refined liquids (CC),2070,0.35
CH,electricity,refined liquids,refined liquids (CC),2075,0.35
CH,electricity,refined liquids,refined liquids (CC),2080,0.35
CH,electricity,refined liquids,refined liquids (CC),2085,0.35
CH,electricity,refined liquids,refined liquids (CC),2090,0.35
CH,electricity,refined liquids,refined liquids (CC),2095,0.35
CH,electricity,refined liquids,refined liquids (CC),2100,0.35
DD,electricity,refined liquids,refined liquids (CC),2010,0.35
DD,electricity,refined liquids,refined liquids (CC),2015,0.35
DD,electricity,refined liquids,refined liquids (CC),2020,0.35
DD,electricity,refined liquids,refined liquids (CC),2025,0.35
DD,electricity,refined liquids,refined liquids (CC),2030,0.35
DD,electricity,refined liquids,refined liquids (CC),2035,0.35
DD,electricity,refined liquids,refined liquids (CC),2040,0.35
DD,electricity,refined liquids,refined liquids (CC),2045,0.35
DD,electricity,refined liquids,refined liquids (CC),2050,0.35
DD,electricity,refined liquids,refined liquids (CC),2055,0.35
DD,electricity,refined liquids,refined liquids (CC),2060,0.35
DD,electricity,refined liquids,refined liquids (CC),2065,0.35
DD,electricity,refined liquids,refined liquids (CC),2070,0.35
DD,electricity,refined liquids,refined liquids (CC),2075,0.35
DD,electricity,refined liquids,refined liquids (CC),2080,0.35
DD,electricity,refined liquids,refined liquids (CC),2085,0.35
DD,electricity,refined liquids,refined liquids (CC),2090,0.35
DD,electricity,refined liquids,refined liquids (CC),2095,0.35
DD,electricity,refined liquids,refined liquids (CC),2100,0.35
DL,electricity,refined liquids,refined liquids (CC),2010,0.35
DL,electricity,refined liquids,refined liquids (CC),2015,0.35
DL,electricity,refined liquids,refined liquids (CC),2020,0.35
DL,electricity,refined liquids,refined liquids (CC),2025,0.35
DL,electricity,refined liquids,refined liquids (CC),2030,0.35
DL,electricity,refined liquids,refined liquids (CC),2035,0.35
DL,electricity,refined liquids,refined liquids (CC),2040,0.35
DL,electricity,refined liquids,refined liquids (CC),2045,0.35
DL,electricity,refined liquids,refined liquids (CC),2050,0.35
DL,electricity,refined liquids,refined liquids (CC),2055,0.35
DL,electricity,refined liquids,refined liquids (CC),2060,0.35
DL,electricity,refined liquids,refined liquids (CC),2065,0.35
DL,electricity,refined liquids,refined liquids (CC),2070,0.35
DL,electricity,refined liquids,refined liquids (CC),2075,0.35
DL,electricity,refined liquids,refined liquids (CC),2080,0.35
DL,electricity,refined liquids,refined liquids (CC),2085,0.35
DL,electricity,refined liquids,refined liquids (CC),2090,0.35
DL,electricity,refined liquids,refined liquids (CC),2095,0.35
DL,electricity,refined liquids,refined liquids (CC),2100,0.35
DN,electricity,refined liquids,refined liquids (CC),2010,0.35
DN,electricity,refined liquids,refined liquids (CC),2015,0.35
DN,electricity,refined liquids,refined liquids (CC),2020,0.35
DN,electricity,refined liquids,refined liquids (CC),2025,0.35
DN,electricity,refined liquids,refined liquids (CC),2030,0.35
DN,electricity,refined liquids,refined liquids (CC),2035,0.35
DN,electricity,refined liquids,refined liquids (CC),2040,0.35
DN,electricity,refined liquids,refined liquids (CC),2045,0.35
DN,electricity,refined liquids,refined liquids (CC),2050,0.35
DN,electricity,refined liquids,refined liquids (CC),2055,0.35
DN,electricity,refined liquids,refined liquids (CC),2060,0.35
DN,electricity,refined liquids,refined liquids (CC),2065,0.35
DN,electricity,refined liquids,refined liquids (CC),2070,0.35
DN,electricity,refined liquids,refined liquids (CC),2075,0.35
DN,electricity,refined liquids,refined liquids (CC),2080,0.35
DN,electricity,refined liquids,refined liquids (CC),2085,0.35
DN,electricity,refined liquids,refined liquids (CC),2090,0.35
DN,electricity,refined liquids,refined liquids (CC),2095,0.35
DN,electricity,refined liquids,refined liquids (CC),2100,0.35
GA,electricity,refined liquids,refined liquids (CC),2010,0.35
GA,electricity,refined liquids,refined liquids (CC),2015,0.35
GA,electricity,refined liquids,refined liquids (CC),2020,0.35
GA,electricity,refined liquids,refined liquids (CC),2025,0.35
GA,electricity,refined liquids,refined liquids (CC),2030,0.35
GA,electricity,refined liquids,refined liquids (CC),2035,0.35
GA,electricity,refined liquids,refined liquids (CC),2040,0.35
GA,electricity,refined liquids,refined liquids (CC),2045,0.35
GA,electricity,refined liquids,refined liquids (CC),2050,0.35
GA,electricity,refined liquids,refined liquids (CC),2055,0.35
GA,electricity,refined liquids,refined liquids (CC),2060,0.35
GA,electricity,refined liquids,refined liquids (CC),2065,0.35
GA,electricity,refined liquids,refined liquids (CC),2070,0.35
GA,electricity,refined liquids,refined liquids (CC),2075,0.35
GA,electricity,refined liquids,refined liquids (CC),2080,0.35
GA,electricity,refined liquids,refined liquids (CC),2085,0.35
GA,electricity,refined liquids,refined liquids (CC),2090,0.35
GA,electricity,refined liquids,refined liquids (CC),2095,0.35
GA,electricity,refined liquids,refined liquids (CC),2100,0.35
GJ,electricity,refined liquids,refined liquids (CC),2010,0.35
GJ,electricity,refined liquids,refined liquids (CC),2015,0.35
GJ,electricity,refined liquids,refined liquids (CC),2020,0.35
GJ,electricity,refined liquids,refined liquids (CC),2025,0.35
GJ,electricity,refined liquids,refined liquids (CC),2030,0.35
GJ,electricity,refined liquids,refined liquids (CC),2035,0.35
GJ,electricity,refined liquids,refined liquids (CC),2040,0.35
GJ,electricity,refined liquids,refined liquids (CC),2045,0.35
GJ,electricity,refined liquids,refined liquids (CC),2050,0.35
GJ,electricity,refined liquids,refined liquids (CC),2055,0.35
GJ,electricity,refined liquids,refined liquids (CC),2060,0.35
GJ,electricity,refined liquids,refined liquids (CC),2065,0.35
