INPUT_TABLE,,,,,,,,,
Variable ID,,,,,,,,,
StateCCUSShareweight,,,,,,,,,
,,,,,,,,,
region,supplysector,subsector,technology,apply.to,from.year,to.year,from.value,to-value,interpolation.function
KL,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
KL,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
KL,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
LA,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
LA,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
LA,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
LD,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
LD,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
LD,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
MH,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
MH,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
MH,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
ML,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
ML,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
ML,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
MN,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
MN,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
MN,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
MP,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
MP,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
MP,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
MZ,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
MZ,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
MZ,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
NL,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
NL,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
NL,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
OD,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
OD,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
OD,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
PB,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
PB,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
PB,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
PC,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
PC,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
PC,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
RJ,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
RJ,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
RJ,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
SK,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
SK,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
SK,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
TN,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
TN,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
TN,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
TR,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
TR,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
TR,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
TS,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
TS,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
TS,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
